session_id,minute_index,viewer_count,join_rate_per_min,comment_rate_per_min,aud_u18_share,aud_18_24_share,aud_25_plus_share,aud_unknown_share,text_signal,audio_signal,visual_signal,behavior_signal,novelty_score,risk_score,event_flag
sess_000004,11,130,0.4165,2.8386,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,12,133,0.4237,2.2697,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,13,140,0.4891,3.4894,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,14,137,0.4629,2.7029,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000005,0,61,,0.0631,0.0765,0.344,0.555,0.0245,0.0536,0.1607,0.065,0.3689,0.3507,0.1879,
sess_000006,0,78,,0.1587,0.1517,0.5514,0.2905,0.0065,0.1169,0.015,0.0636,0.0668,0.0326,0.0727,
sess_000007,0,129,0.0743,0.7792,0.112,0.4211,0.2878,0.179,0.1332,0.0459,0.3541,0.4793,0.716,0.34,
sess_000007,1,119,0.1056,0.7062,0.112,0.4211,0.2878,0.179,0.1332,0.0459,0.3541,0.4793,0.716,0.34,
sess_000007,2,123,0.0697,0.5751,0.112,0.4211,0.2878,0.179,0.1332,0.0459,0.3541,0.4793,0.716,0.34,
sess_000007,3,189,0.1337,0.366,0.112,0.4211,0.2878,0.179,0.1332,0.0459,0.3541,0.4793,0.716,0.34,
sess_000007,4,217,0.1044,0.4689,0.112,0.4211,0.2878,0.179,0.1332,0.0459,0.3541,0.4793,0.716,0.34,
sess_000007,5,222,0.1356,0.703,0.112,0.4211,0.2878,0.179,0.1332,0.0459,0.3541,0.4793,0.716,0.34,
sess_000007,6,258,0.118,0.8839,0.112,0.4211,0.2878,0.179,0.1332,0.0459,0.3541,0.4793,0.716,0.34,
sess_000007,7,281,0.1125,0.9513,0.112,0.4211,0.2878,0.179,0.1332,0.0459,0.3541,0.4793,0.716,0.34,
sess_000008,0,16,0.1089,5.6536,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,1,20,0.1273,4.728,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,2,24,0.0773,4.913,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,3,21,0.0686,3.9001,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,4,28,0.1071,5.2213,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,5,30,0.0795,4.0638,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,6,34,0.0972,2.7829,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,7,33,0.0663,4.7071,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,8,34,0.0817,4.8087,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,9,38,0.109,6.5595,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,10,39,0.0719,6.4111,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,11,44,0.071,4.9729,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,12,50,0.0713,10.5348,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,13,51,0.1272,4.3307,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000008,14,50,0.0738,8.0066,0.0875,0.5371,0.3629,0.0125,0.0612,0.1187,0.0376,0.4368,0.0985,0.2023,
sess_000009,0,15,,0.1744,0.4688,0.2364,0.2785,0.0163,0.2606,0.0998,0.0249,0.2736,0.0872,0.184,
sess_000010,0,34,,0.5608,0.3551,0.6251,0.0021,0.0176,0.113,0.049,0.0867,0.1392,0.3107,0.1326,
sess_000011,0,24,,0.4556,0.6639,0.2316,0.0812,0.0232,0.1013,0.1085,0.0349,0.1189,0.3429,0.1484,
sess_000012,0,184,0.2669,0.4225,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,1,175,0.2469,0.4566,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,2,217,0.2547,0.5978,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,3,217,0.2564,0.2299,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,4,261,0.2742,0.656,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,5,190,0.4238,0.4405,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,6,306,0.1939,0.5733,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,7,274,0.2151,0.9039,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,8,314,0.2654,0.6273,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,9,351,0.261,0.5256,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,10,417,0.2478,0.4963,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,11,404,0.3314,0.7009,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,12,414,0.1889,0.8194,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,13,391,0.2712,0.3553,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000012,14,437,0.2729,0.5177,0.1258,0.2045,0.5774,0.0923,0.2223,0.1343,0.3918,0.2049,0.5767,0.2602,
sess_000013,0,87,,0.0417,0.1213,0.5654,0.1404,0.1729,0.2429,0.2042,0.0249,0.2818,0.2678,0.1976,
sess_000014,0,29,0.4,1.9723,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,1,23,0.5326,1.1621,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,2,32,0.4706,0.8895,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,3,34,0.4752,1.3044,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,4,46,0.4288,0.5763,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,5,40,0.9395,0.7026,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,6,50,0.7498,0.7669,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,7,49,0.7406,0.8152,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,8,49,0.4262,0.6526,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,9,51,0.363,0.9421,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,10,54,0.5226,0.54,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,11,61,0.6072,0.4633,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,12,64,0.67,0.6096,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,13,72,0.5474,0.7273,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000014,14,69,0.5668,0.956,0.6208,0.1153,0.0448,0.2192,0.1567,0.0485,0.1592,0.5089,0.113,0.2275,
sess_000015,0,18,0.251,0.8978,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,1,15,0.2051,1.4363,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,2,20,0.2423,0.7913,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,3,26,0.2954,0.5825,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,4,21,0.2968,0.7702,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,5,25,0.2983,0.3112,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,6,26,0.2312,0.882,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,7,29,0.2772,1.0708,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,8,30,0.2755,1.0365,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,9,32,0.1694,0.5896,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,10,32,0.2521,0.9911,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,11,33,0.2764,1.6482,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,12,37,0.1522,0.7949,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,13,42,0.2697,0.7377,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000015,14,46,0.3294,0.7883,0.6197,0.112,0.2635,0.0049,0.019,0.0522,0.1744,0.229,0.4495,0.1862,
sess_000016,0,45,,0.06,0.0813,0.5079,0.4096,0.0011,0.1442,0.099,0.0946,0.0948,0.041,0.1088,
sess_000017,0,26,,0.0279,0.0242,0.4711,0.3269,0.1779,0.2245,0.0275,0.2341,0.0652,0.1171,0.1284,
sess_000018,0,44,,0.0615,0.01,0.2473,0.1422,0.6005,0.0158,0.0207,0.1589,0.0362,0.2322,0.1046,
sess_000019,0,22,,0.0831,0.1773,0.4947,0.3011,0.0269,0.0783,0.3164,0.0246,0.2447,0.0496,0.1323,
sess_000020,0,8,,0.0811,0.3557,0.3652,0.2425,0.0366,0.1374,0.1888,0.0521,0.0736,0.2214,0.1409,
sess_000021,0,62,,0.0607,0.1708,0.6111,0.0456,0.1725,0.1869,0.1142,0.038,0.5159,0.0379,0.2244,
sess_000022,0,58,0.1187,0.2268,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,1,45,0.1379,0.286,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,2,58,0.0969,0.2641,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,3,54,0.0871,0.2311,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,4,56,0.1521,0.1734,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,5,70,0.0975,0.2583,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,6,69,0.0828,0.2777,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,7,76,0.1218,0.2018,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,8,75,0.1487,0.3034,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,9,85,0.1154,0.3376,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,10,91,0.1052,0.2553,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,11,96,0.1405,0.221,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,12,99,0.1321,0.1572,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,13,122,0.1685,0.2806,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000022,14,117,0.1248,0.1976,0.0133,0.2384,0.372,0.3763,0.1693,0.1461,0.2574,0.111,0.0733,0.168,
sess_000023,0,44,0.25,0.4707,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,1,45,0.1571,0.4578,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,2,57,0.1054,0.352,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,3,51,0.2002,0.9263,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,4,62,0.1514,0.5216,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,5,75,0.1252,0.5533,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,6,80,0.1789,0.5439,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,7,85,0.0803,0.6453,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,8,80,0.0999,0.6087,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,9,98,0.1525,0.7105,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,10,105,0.2193,0.9036,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,11,105,0.1609,0.2905,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,12,104,0.1279,1.0882,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,13,110,0.1628,0.6174,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000023,14,116,0.2412,0.4093,0.0123,0.1966,0.5606,0.2305,0.0168,0.0875,0.1008,0.3152,0.263,0.1725,
sess_000024,0,7,,0.0637,,,,1.0,0.8521,0.0477,0.1836,0.071,0.0385,0.2562,
sess_000025,0,31,,0.3756,0.2142,0.2532,0.4113,0.1212,0.0439,0.0835,0.1345,0.1337,0.1266,0.0991,
sess_000026,0,9,,0.0804,0.0358,0.6038,0.3169,0.0434,0.0235,0.169,0.1245,0.1033,0.3606,0.1302,
sess_000027,0,31,,0.0616,0.1127,0.6545,0.0877,0.1451,0.2744,0.091,0.1682,0.0836,0.2337,0.1789,
sess_000028,0,25,0.1403,1.0596,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,1,27,0.1319,0.5356,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,2,29,0.096,0.6947,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,3,25,0.0784,0.6552,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,4,32,0.1211,0.6682,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,5,37,0.1372,0.5957,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,6,39,0.1696,0.7013,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,7,42,0.1203,0.6621,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,8,43,0.0918,0.5363,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,9,51,0.1007,0.6636,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,10,54,0.1099,0.8744,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,11,49,0.114,0.7201,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,12,57,0.078,1.0673,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,13,57,0.1282,0.7025,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000028,14,66,0.2037,0.4459,0.3305,0.032,0.5008,0.1367,0.1308,0.071,0.0549,0.0858,0.2633,0.1327,
sess_000029,0,14,,0.024,0.0697,0.1841,0.4988,0.2474,0.0144,0.0644,0.1837,0.2258,0.2338,0.1685,
sess_000030,0,4,,0.2395,0.2392,0.4124,0.1298,0.2186,0.2065,0.1565,0.0371,0.227,0.0757,0.1429,
sess_000031,0,37,0.3772,0.2308,0.1112,0.3803,0.508,0.0005,0.0275,0.007,0.1521,0.2771,0.0336,0.1334,
sess_000031,1,28,0.4347,0.3144,0.1112,0.3803,0.508,0.0005,0.0275,0.007,0.1521,0.2771,0.0336,0.1334,
sess_000031,2,36,0.385,0.2565,0.1711,0.3546,0.4738,0.0005,0.1515,0.007,0.1521,0.903,0.2237,0.355,audience_shift
sess_000031,3,49,0.4051,0.2843,0.1711,0.3546,0.4738,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,
sess_000031,4,48,0.2671,0.1969,0.1711,0.3546,0.4738,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,report_spike
sess_000031,5,56,0.3918,0.1638,0.1711,0.3546,0.4738,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,
sess_000031,6,54,0.4926,0.412,0.1711,0.3546,0.4738,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,
sess_000031,7,69,0.4242,0.1661,0.2031,0.341,0.4555,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,audience_shift
sess_000031,8,71,0.38,0.3154,0.2031,0.341,0.4555,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,
sess_000031,9,65,0.3363,0.1732,0.2031,0.341,0.4555,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,
sess_000031,10,79,0.4785,0.2398,0.2031,0.341,0.4555,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,
sess_000031,11,76,0.3983,0.2135,0.2031,0.341,0.4555,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,
sess_000031,12,81,0.4356,0.1941,0.2031,0.341,0.4555,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,
sess_000031,13,81,0.286,0.1444,0.2031,0.341,0.4555,0.0005,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,
sess_000031,14,94,0.4156,0.2622,0.2931,0.3025,0.4041,0.0004,0.0785,0.007,0.1521,0.7916,0.0673,0.2921,audience_shift
sess_000032,0,89,,0.0892,0.0058,0.2002,0.7192,0.0747,0.0626,0.0079,0.2201,0.1101,0.1438,0.1098,
sess_000033,0,48,,0.0992,0.1915,0.5565,0.0866,0.1654,0.0172,0.077,0.0053,0.2063,0.3658,0.1138,
sess_000034,0,126,0.0275,0.1787,0.0092,0.5277,0.1932,0.2698,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000034,1,116,0.0334,0.1186,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,audience_shift
sess_000034,2,152,0.0264,0.0935,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000034,3,164,0.0411,0.161,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,report_spike
sess_000034,4,192,0.0272,0.1862,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000034,5,201,0.0238,0.1917,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000034,6,237,0.0304,0.1303,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000034,7,250,0.024,0.2321,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000034,8,293,0.019,0.1228,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000034,9,258,0.0257,0.1651,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,report_spike
sess_000034,10,276,0.0252,0.1808,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000034,11,311,0.0282,0.3053,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,report_spike
sess_000034,12,367,0.0406,0.2424,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000034,13,324,0.0381,0.2138,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,report_spike
sess_000034,14,342,0.0286,0.1873,0.0292,0.5171,0.1893,0.2644,0.1309,0.6768,0.2308,0.1823,0.3493,0.2451,
sess_000035,0,29,,0.0611,0.4265,0.54,0.033,0.0005,0.2346,0.0411,0.0484,0.1669,0.1032,0.1324,
sess_000036,0,20,,0.0326,0.2978,0.1808,0.2908,0.2307,0.2201,0.2475,0.2706,0.2073,0.6902,0.2763,
sess_000037,0,11,,0.0898,0.2584,0.4228,0.1809,0.1379,0.0638,0.22,0.0873,0.2817,0.6943,0.2553,
sess_000038,0,12,,0.078,0.1907,0.5287,0.0455,0.2351,0.3922,0.0361,0.003,0.0805,0.2168,0.1769,
sess_000039,0,46,0.2141,1.3478,0.3491,0.4072,0.2256,0.0181,0.0301,0.0334,0.1059,0.1115,0.0767,0.1029,
sess_000039,1,49,0.1476,1.7353,0.3491,0.4072,0.2256,0.0181,0.0301,0.0334,0.1059,0.1115,0.0767,0.1029,
sess_000039,2,47,0.1841,0.9348,0.3491,0.4072,0.2256,0.0181,0.0301,0.0334,0.1059,0.1115,0.0767,0.1029,
sess_000039,3,58,0.1636,1.0752,0.3491,0.4072,0.2256,0.0181,0.0301,0.0334,0.1059,0.1115,0.0767,0.1029,
sess_000039,4,53,0.2504,1.3282,0.3491,0.4072,0.2256,0.0181,0.0301,0.0334,0.1059,0.1115,0.0767,0.1029,
sess_000039,5,63,0.1665,1.3161,0.3491,0.4072,0.2256,0.0181,0.0301,0.0334,0.1059,0.1115,0.0767,0.1029,
sess_000039,6,66,0.1931,1.577,0.3491,0.4072,0.2256,0.0181,0.0301,0.0334,0.1059,0.1115,0.0767,0.1029,
sess_000039,7,71,0.2052,1.173,0.3491,0.4072,0.2256,0.0181,0.0301,0.0334,0.1059,0.1115,0.0767,0.1029,
