session_id,platform,content_format,creator_account_id,creator_age_band,creator_region,account_tenure_days,start_time_local,duration_sec,category,aud_u18_share,aud_18_24_share,aud_25_plus_share,aud_unknown_share,viewer_peak,join_rate_per_min,exit_rate_per_min,comment_rate_per_min,cross_age_interaction_rate,text_signal,audio_signal,visual_signal,behavior_signal,novelty_score,trend_cluster_id,risk_score,risk_velocity,confidence_band,risk_tier,abstain_flag,suggested_action_tier,human_review_required,moderator_decision,final_action_taken,raw_report_count,downstream_harm_report_count,policy_violation_downstream,appeal_or_reversal,driver_age_risk,driver_boundary_escalation,driver_contextual_vulnerability,driver_emerging_trend
sess_000023,tiktok,live,acct_000248,25_plus,LATAM,374,2025-11-16T05:27:00,1154,education,0.0123,0.1966,0.5606,0.2305,122,0.1579,0.1976,0.509,0.2275,0.0168,0.0875,0.1008,0.3152,0.263,trend_09,0.1725,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,True,False
sess_000024,tiktok,short_video,acct_001937,unknown,MEA,347,2025-11-21T11:53:00,76,sports,,,,1.0,7,,,0.0637,0.0852,0.8521,0.0477,0.1836,0.071,0.0385,trend_05,0.2562,-0.0026,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000025,facebook,short_video,acct_000655,25_plus,MEA,318,2025-11-25T08:50:00,86,fitness,0.2142,0.2532,0.4113,0.1212,31,,,0.3756,0.0567,0.0439,0.0835,0.1345,0.1337,0.1266,trend_36,0.0991,0.0279,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000026,tiktok,short_video,acct_000007,18_24,EU,1741,2025-11-29T08:59:00,29,education,0.0358,0.6038,0.3169,0.0434,9,,,0.0804,0.1733,0.0235,0.169,0.1245,0.1033,0.3606,trend_04,0.1302,-0.0297,high,low,False,none,False,unknown,none,1,0,False,False,False,False,False,False
sess_000027,youtube,short_video,acct_000365,18_24,NA,114,2025-11-01T13:40:00,57,general,0.1127,0.6545,0.0877,0.1451,31,,,0.0616,0.2698,0.2744,0.091,0.1682,0.0836,0.2337,trend_06,0.1789,0.0075,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000028,instagram,live,acct_000864,18_24,APAC,293,2025-12-26T05:43:00,2754,lifestyle,0.3305,0.032,0.5008,0.1367,66,0.1179,0.1102,0.7005,0.3053,0.1308,0.071,0.0549,0.0858,0.2633,trend_40,0.1327,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000029,instagram,short_video,acct_000160,18_24,NA,111,2025-12-29T19:47:00,88,lifestyle,0.0697,0.1841,0.4988,0.2474,14,,,0.024,0.3269,0.0144,0.0644,0.1837,0.2258,0.2338,trend_10,0.1685,0.0076,high,low,False,none,False,unknown,none,0,1,False,False,True,False,False,False
sess_000030,youtube,short_video,acct_001876,u18,EU,149,2025-12-09T05:35:00,39,fitness,0.2392,0.4124,0.1298,0.2186,4,,,0.2395,0.0333,0.2065,0.1565,0.0371,0.227,0.0757,trend_38,0.1429,-0.0015,high,low,False,none,False,unknown,none,0,0,False,False,False,False,True,False
sess_000031,tiktok,live,acct_000740,25_plus,APAC,303,2025-12-01T17:51:00,2812,music,0.2931,0.3025,0.4041,0.0004,98,0.4002,0.0514,0.2531,0.1531,0.0785,0.007,0.1521,0.7916,0.0673,trend_26,0.2921,0.0113,high,low,False,none,False,unknown,none,7,0,False,False,False,False,False,False
sess_000032,youtube,short_video,acct_000324,25_plus,,523,2025-11-22T03:21:00,70,sports,0.0058,0.2002,0.7192,0.0747,89,,,0.0892,0.0868,0.0626,0.0079,0.2201,0.1101,0.1438,trend_05,0.1098,0.0064,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000033,tiktok,short_video,acct_000681,18_24,MEA,160,2025-11-28T00:02:00,62,music,0.1915,0.5565,0.0866,0.1654,48,,,0.0992,0.0584,0.0172,0.077,0.0053,0.2063,0.3658,trend_17,0.1138,0.0216,high,low,False,none,False,unknown,none,1,0,False,False,False,False,False,False
sess_000034,tiktok,live,acct_001025,25_plus,EU,595,2025-11-15T03:13:00,1062,gaming,0.0292,0.5171,0.1893,0.2644,391,0.0302,0.1077,0.17,0.1758,0.1309,0.6768,0.2308,0.1823,0.3493,trend_16,0.2451,0.0,high,low,False,none,False,unknown,none,13,1,False,False,False,False,False,False
sess_000035,tiktok,short_video,acct_000025,18_24,APAC,316,2025-12-24T22:59:00,84,lifestyle,0.4265,0.54,0.033,0.0005,29,,,0.0611,0.0907,0.2346,0.0411,0.0484,0.1669,0.1032,trend_38,0.1324,-0.0365,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000036,facebook,short_video,acct_000870,18_24,APAC,287,2025-12-28T13:29:00,84,beauty,0.2978,0.1808,0.2908,0.2307,20,,,0.0326,0.2276,0.2201,0.2475,0.2706,0.2073,0.6902,trend_24,0.2763,0.0017,high,low,False,none,False,unknown,none,0,2,False,False,True,False,False,False
sess_000037,tiktok,short_video,acct_000137,18_24,LATAM,23,2025-11-24T03:34:00,87,fitness,0.2584,0.4228,0.1809,0.1379,11,,,0.0898,0.4604,0.0638,0.22,0.0873,0.2817,0.6943,trend_34,0.2553,0.0267,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,True
sess_000038,facebook,short_video,acct_000541,18_24,APAC,692,2025-11-11T12:31:00,52,fitness,0.1907,0.5287,0.0455,0.2351,12,,,0.078,0.3516,0.3922,0.0361,0.003,0.0805,0.2168,trend_43,0.1769,-0.0078,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000039,instagram,live,acct_001528,25_plus,LATAM,616,2025-11-25T09:40:00,2153,education,0.3491,0.4072,0.2256,0.0181,117,0.1872,0.1406,1.0503,0.2909,0.0301,0.0334,0.1059,0.1115,0.0767,trend_38,0.1029,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,True,False,False
sess_000040,facebook,short_video,acct_001733,18_24,LATAM,338,2025-11-04T23:12:00,53,lifestyle,,,,,62,,,0.1844,0.2917,0.8594,0.2653,0.3296,0.063,0.446,trend_08,0.3617,0.0329,high,low,False,none,False,unknown,none,1,1,False,False,False,False,False,False
sess_000041,youtube,short_video,acct_001280,u18,APAC,362,2025-12-10T15:03:00,90,news,0.3315,0.1323,0.3677,0.1685,16,,,0.0696,0.0794,0.0859,0.0666,0.0255,0.045,0.4308,trend_32,0.0954,-0.003,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000042,instagram,live,acct_001290,25_plus,NA,278,2025-12-30T12:38:00,3082,education,0.1745,0.0794,0.4291,0.317,11,0.1897,0.1585,1.1219,0.0397,0.0086,0.0334,0.0409,0.3364,0.033,trend_30,0.1149,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000043,instagram,short_video,acct_001225,u18,LATAM,75,2025-11-25T23:04:00,65,fitness,0.4584,0.3381,0.0269,0.1766,44,,,0.1661,0.3494,0.034,0.155,0.027,0.1413,0.0393,trend_28,0.1133,0.0216,high,low,False,none,False,unknown,none,0,2,False,False,False,False,False,False
sess_000044,youtube,live,acct_001242,18_24,LATAM,423,2025-11-20T07:23:00,1817,gaming,0.7533,0.172,0.0673,0.0074,121,0.138,0.1162,1.4348,0.0993,0.0561,0.0083,0.0503,0.2031,0.1068,trend_02,0.1017,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000045,instagram,short_video,acct_001232,18_24,APAC,412,2025-11-07T11:28:00,49,fitness,0.0708,0.0231,0.7961,0.1101,16,,,0.114,0.1067,0.3398,0.0352,0.1915,0.1414,0.1472,trend_17,0.1799,-0.0067,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000046,instagram,short_video,acct_001188,25_plus,MEA,263,2025-12-11T06:50:00,27,education,0.009,0.197,0.6679,0.1262,55,,,0.0983,0.147,0.0326,0.0426,0.2017,0.0551,0.1585,trend_17,0.0967,-0.0224,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000047,facebook,short_video,acct_000416,unknown,APAC,158,2025-11-11T04:31:00,22,news,0.4255,0.0024,0.0743,0.4978,2,,,0.0571,0.1151,0.0545,0.0497,0.0792,0.1799,0.265,trend_13,0.1219,-0.0162,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000048,tiktok,short_video,acct_001498,18_24,NA,247,2025-11-17T16:07:00,23,beauty,0.568,0.3317,0.0889,0.0115,7,,,0.163,0.0791,0.15,0.0071,0.0812,0.0526,0.0162,trend_29,0.0742,-0.0253,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000049,instagram,live,acct_001011,25_plus,LATAM,110,2025-12-29T03:11:00,687,fitness,0.3432,0.5574,0.0186,0.0808,691,0.1468,0.0377,0.157,0.2673,0.1091,0.1318,0.1264,0.2906,0.1823,trend_03,0.1916,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,True,False
sess_000050,youtube,live,acct_001152,25_plus,APAC,150,2025-11-06T07:49:00,2553,gaming,0.3198,0.0302,0.5606,0.0893,72,0.1497,0.1047,1.2648,0.1727,0.0639,0.2492,0.109,0.8069,0.0476,trend_16,0.31,0.0,high,low,False,none,False,unknown,none,0,0,True,False,False,False,False,False
sess_000051,youtube,live,acct_001372,u18,EU,410,2025-12-03T15:46:00,3212,music,0.424,0.4331,0.0634,0.0795,37,0.1166,0.2398,2.906,0.0447,0.1056,0.0609,0.3438,0.0243,0.2642,trend_43,0.1298,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000052,instagram,short_video,acct_001887,18_24,EU,636,2025-12-21T09:35:00,80,beauty,0.4782,0.2105,0.3072,0.0041,17,,,0.059,0.1383,0.3883,0.0946,0.0341,0.0767,0.3105,trend_12,0.1701,0.0164,high,low,False,none,False,unknown,none,1,1,False,False,False,False,False,False
sess_000053,instagram,short_video,acct_000420,25_plus,APAC,589,2025-11-20T20:11:00,74,education,0.7257,0.0488,0.0733,0.1523,18,,,0.2792,0.3494,0.0441,0.2492,0.1649,0.0183,0.2435,trend_37,0.1357,0.0057,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000054,instagram,short_video,acct_001507,25_plus,APAC,170,2025-11-15T20:43:00,56,education,0.0168,0.2178,0.7185,0.047,9,,,0.272,0.3858,0.0101,0.031,0.3381,0.3276,0.0385,trend_38,0.208,-0.0062,high,low,False,none,False,unknown,none,0,0,False,False,True,False,False,False
sess_000055,facebook,short_video,acct_001555,18_24,MEA,582,2025-12-07T04:28:00,60,education,0.2121,0.575,0.1504,0.0624,27,,,0.159,0.1031,0.3293,0.0821,0.0519,0.2346,0.2008,trend_02,0.1881,-0.0308,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,True
sess_000056,youtube,live,acct_000799,u18,EU,78,2025-11-03T11:24:00,1957,education,0.1594,0.4863,0.0698,0.2845,22,0.0869,0.1859,0.4929,0.084,0.063,0.0478,0.0544,0.2719,0.319,trend_25,0.1466,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000057,youtube,live,acct_000559,unknown,MEA,524,2025-11-12T03:41:00,2207,sports,0.1092,0.0745,0.0952,0.7211,718,0.1573,0.0826,0.2363,0.451,0.2623,0.0743,0.0958,0.197,0.2315,trend_24,0.2148,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,True,False,False
sess_000058,tiktok,short_video,acct_001973,18_24,APAC,231,2025-11-23T13:36:00,70,music,0.3656,0.4323,0.0797,0.1223,36,,,0.041,0.115,0.1337,0.0813,0.0737,0.2169,0.4344,trend_23,0.1688,0.0311,high,low,False,none,False,unknown,none,0,2,False,False,False,False,False,False
sess_000059,tiktok,live,acct_001067,18_24,LATAM,13,2025-11-03T12:54:00,3381,education,0.508,0.2503,0.1706,0.071,66,0.4173,0.2187,1.9595,0.0529,0.2423,0.2698,0.3275,0.0325,0.3024,trend_17,0.1849,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,True
sess_000060,tiktok,live,acct_000748,u18,NA,511,2025-11-05T03:39:00,2477,fitness,0.1567,0.4983,0.2061,0.1389,356,0.0907,0.1405,1.8338,0.0979,0.1415,0.1694,0.0618,0.2728,0.1466,trend_17,0.162,0.0,high,low,False,none,False,unknown,none,0,2,False,False,False,False,False,False
sess_000061,tiktok,live,acct_001996,18_24,MEA,328,2025-11-29T21:39:00,531,general,0.1206,0.7656,0.1105,0.0033,409,0.492,0.0516,0.3336,0.1418,0.1457,0.0171,0.044,0.3967,0.1534,trend_12,0.1851,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,True,False,False
sess_000062,tiktok,live,acct_001433,18_24,LATAM,301,2025-11-14T15:47:00,583,music,0.1603,0.1725,0.6098,0.0574,153,0.0896,0.1116,0.8675,0.0252,0.2236,0.1762,0.0231,0.107,0.0243,trend_42,0.1064,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000063,tiktok,live,acct_000817,25_plus,NA,232,2025-12-01T23:15:00,506,music,0.1967,0.2158,0.5128,0.0747,90,0.4872,0.1324,2.0407,0.1957,0.0772,0.0079,0.1371,0.1732,0.1993,trend_07,0.1344,0.0,high,low,False,none,False,unknown,none,0,2,False,False,False,False,False,False
sess_000064,youtube,short_video,acct_001578,u18,NA,686,2025-12-14T09:33:00,30,fitness,0.552,0.0523,0.0163,0.3794,8,,,0.1244,0.367,0.006,0.009,0.2771,0.0615,0.1034,trend_27,0.1237,0.0171,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000065,instagram,short_video,acct_001608,18_24,LATAM,390,2025-12-14T17:41:00,70,general,0.4304,0.2487,0.2567,0.0641,19,,,0.3909,0.1772,0.1228,0.0745,0.0948,0.3461,0.176,trend_37,0.1873,-0.0068,high,low,False,none,False,unknown,none,0,0,True,False,False,False,True,False
sess_000066,tiktok,live,acct_000688,25_plus,,363,2025-12-10T22:42:00,624,education,0.3082,0.2076,0.4366,0.0476,225,0.0532,0.0694,0.4126,0.1458,0.0615,0.2124,0.0768,0.0881,0.0152,trend_10,0.0923,0.0,high,low,False,none,False,unknown,none,3,0,False,False,False,False,False,False
sess_000067,youtube,short_video,acct_001634,18_24,,256,2025-12-30T14:46:00,64,music,,,,1.0,38,,,0.2091,0.0769,0.1232,0.2297,0.012,0.1448,0.3461,trend_44,0.1339,0.0084,high,low,False,none,False,unknown,none,0,2,False,False,False,False,False,False
sess_000068,youtube,short_video,acct_000230,18_24,NA,157,2025-12-11T15:12:00,14,general,0.2107,0.7332,0.0248,0.0313,32,,,0.0418,0.1751,0.0135,0.0335,0.0571,0.1689,0.0237,trend_26,0.0873,0.0128,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000069,tiktok,short_video,acct_000549,25_plus,APAC,401,2025-12-20T03:49:00,42,news,0.2728,0.4945,0.0692,0.1635,85,,,0.1245,0.0314,0.1841,0.0134,0.2472,0.1915,0.2155,trend_03,0.1653,-0.0107,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000070,instagram,live,acct_001946,unknown,EU,172,2025-12-05T10:23:00,2363,lifestyle,0.0619,0.3873,0.4485,0.1023,78,0.3252,0.1804,0.6176,0.3027,0.0244,0.2896,0.109,0.1073,0.0666,trend_39,0.127,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000071,tiktok,live,acct_001822,18_24,LATAM,183,2025-12-02T09:22:00,1464,sports,0.5905,0.3137,0.0853,0.0105,34,0.1354,0.3891,0.98,0.0407,0.0537,0.0556,0.0761,0.1624,0.0882,trend_08,0.0903,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000072,tiktok,live,acct_000233,u18,EU,661,2025-12-17T16:25:00,1357,lifestyle,0.4305,0.2739,0.0499,0.2457,83,0.1878,0.1207,0.8331,0.0833,0.0533,0.151,0.0794,0.2563,0.0849,trend_44,0.1314,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000073,facebook,live,acct_001000,25_plus,NA,667,2025-12-04T14:54:00,513,comedy,0.2209,0.3636,0.3288,0.0868,17,0.1241,0.0604,1.0037,0.2991,0.0066,0.2016,0.1832,0.1841,0.2787,trend_30,0.1699,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,False,True,False
sess_000074,tiktok,short_video,acct_000320,18_24,LATAM,384,2025-12-07T11:46:00,74,education,0.3024,0.4579,0.2106,0.0291,11,,,0.0506,0.0268,0.123,0.1288,0.2028,0.5505,0.3009,trend_05,0.2639,0.0272,high,low,False,none,False,unknown,none,0,0,False,False,False,True,False,False
sess_000075,facebook,short_video,acct_000770,18_24,LATAM,245,2025-11-30T18:39:00,81,fitness,0.0647,0.471,0.3433,0.121,40,,,0.0562,0.0339,0.0601,0.0183,0.1417,0.0525,0.1905,trend_38,0.0784,0.0266,high,low,False,none,False,unknown,none,1,1,True,False,False,False,False,False
sess_000076,instagram,short_video,acct_001759,18_24,MEA,42,2025-12-23T03:19:00,78,comedy,0.7049,0.143,0.1332,0.0188,100,,,0.1764,0.1987,0.08,0.082,0.0482,0.3221,0.2566,trend_19,0.1742,0.0202,high,low,False,none,False,unknown,none,1,1,False,False,False,True,False,False
sess_000077,youtube,short_video,acct_001302,18_24,EU,97,2025-11-26T23:01:00,19,gaming,0.0321,0.4006,0.1763,0.391,61,,,0.1033,0.0645,0.0985,0.187,0.0003,0.4546,0.3489,trend_31,0.2103,-0.0166,high,low,False,none,False,unknown,none,0,3,False,False,False,False,False,False
sess_000078,instagram,short_video,acct_001464,u18,,188,2025-11-20T05:17:00,84,beauty,0.4419,0.3769,0.0723,0.1089,33,,,0.019,0.1947,0.0819,0.1091,0.256,0.0589,0.0196,trend_27,0.1168,0.0214,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000079,instagram,short_video,acct_001386,25_plus,MEA,434,2025-11-14T09:27:00,19,music,0.0822,0.3679,0.4767,0.0732,17,,,0.0179,0.0288,0.4746,0.0685,0.1174,0.0454,0.4288,trend_31,0.1915,-0.0079,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,True
sess_000080,youtube,short_video,acct_000177,25_plus,MEA,586,2025-12-05T00:26:00,73,sports,0.0869,0.2092,0.6434,0.0605,33,,,0.077,0.1217,0.0762,0.0645,0.026,0.1585,0.0357,trend_19,0.0904,0.0079,high,low,False,none,False,unknown,none,0,0,True,False,False,False,False,False
sess_000081,facebook,short_video,acct_001152,18_24,APAC,418,2025-11-19T11:45:00,79,beauty,0.4826,0.2769,0.1028,0.1376,57,,,0.0743,0.1156,0.2217,0.0049,0.0468,0.2893,0.4984,trend_05,0.2024,-0.0111,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000082,instagram,short_video,acct_001142,18_24,NA,420,2025-11-25T07:23:00,19,comedy,0.3455,0.3352,0.2176,0.1016,38,,,0.0511,0.0097,0.0271,0.0751,0.2653,0.2174,0.198,trend_06,0.1431,0.0193,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000083,facebook,live,acct_001992,18_24,NA,912,2025-12-30T11:44:00,1639,lifestyle,0.283,0.3422,0.2588,0.116,293,0.0906,0.0427,0.3405,0.2747,0.1699,0.1535,0.0114,0.4524,0.3142,trend_04,0.2458,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000084,facebook,live,acct_001235,18_24,NA,646,2025-12-21T14:19:00,1405,lifestyle,0.5039,0.265,0.191,0.0401,32,0.1191,0.2038,1.392,0.241,0.0637,0.0257,0.0475,0.4532,0.0688,trend_38,0.1878,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000085,youtube,live,acct_001940,u18,APAC,224,2025-12-07T04:44:00,3055,comedy,0.1168,0.5386,0.3364,0.0082,23,0.036,0.1523,0.3166,0.0921,0.1285,0.0421,0.0551,0.0652,0.1418,trend_40,0.0859,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000086,youtube,live,acct_000958,25_plus,MEA,10,2025-11-05T01:47:00,895,sports,0.1215,0.0986,0.6884,0.0916,93,0.0517,0.241,2.5238,0.0265,0.0435,0.2584,0.016,0.2646,0.132,trend_01,0.1288,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
